Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,295.5299987792969,296.3900146484375,292.5899963378906,293.2200012207031,275.27685546875,5602600
2020-06-11,286.3599853515625,286.9200134277344,275.79998779296875,276.32000732421875,259.41094970703125,7748200
2020-06-12,283.3500061035156,284.1499938964844,274.5,279.6499938964844,262.5372314453125,6232200
2020-06-15,273.9100036621094,283.3500061035156,272.7699890136719,282.20001220703125,264.9312438964844,4431400
2020-06-16,290.04998779296875,290.20001220703125,282.8299865722656,287.7200012207031,270.11346435546875,5295000
2020-06-17,288.7300109863281,289.0199890136719,285.8800048828125,286.3999938964844,268.8741455078125,2662800
2020-06-18,284.9700012207031,287.1199951171875,284.54998779296875,286.6600036621094,269.1182861328125,2756300
2020-06-19,290.0400085449219,290.2699890136719,283.6700134277344,284.9700012207031,267.53173828125,3479500
2020-06-22,284.3500061035156,287.19000244140625,283.260009765625,286.8599853515625,269.3060302734375,2518000
2020-06-23,289.510009765625,290.42999267578125,287.760009765625,288.1600036621094,270.5264892578125,2503600
2020-06-24,286.0799865722656,286.70001220703125,278.9700012207031,280.7900085449219,263.6075439453125,4532300
2020-06-25,280.260009765625,284.1000061035156,278.2200012207031,283.760009765625,266.395751953125,3897400
2020-06-26,282.7200012207031,282.9200134277344,276.5199890136719,277.1099853515625,260.1526184082031,4479000
2020-06-29,276.8900146484375,279.7200012207031,274.7200012207031,279.70001220703125,263.94915771484375,3464600
2020-06-30,279.2900085449219,284.95001220703125,279.1499938964844,283.42999267578125,267.4690856933594,5215700
2020-07-01,284.3699951171875,286.510009765625,283.95001220703125,285.3699951171875,269.2997741699219,3712600
2020-07-02,288.760009765625,290.04998779296875,286.17999267578125,286.80999755859375,270.65875244140625,3661100
2020-07-06,290.6700134277344,291.5799865722656,289.8999938964844,291.260009765625,274.8581237792969,3573800
2020-07-07,289.6700134277344,291.67999267578125,287.8900146484375,288.239990234375,272.0081787109375,3420300
2020-07-08,289.0,290.54998779296875,287.2900085449219,290.3800048828125,274.0277099609375,2434200
2020-07-09,291.0199890136719,291.29998779296875,285.4100036621094,288.8999938964844,272.6310729980469,3164600
2020-07-10,288.7200012207031,292.010009765625,287.3399963378906,291.79998779296875,275.3677062988281,2712400
2020-07-13,294.1000061035156,296.45001220703125,288.6099853515625,289.1600036621094,272.87640380859375,3657900
